atlas_id,jobs
BK0101,16086
BK0102,37632
BK0103,23820
BK0104,28188
BK0201,16631
BK0202,106958
BK0203,16557
BK0204,11257
BK0301,15890
BK0302,12585
BK0401,27916
BK0402,6782
BK0501,6365
BK0502,8890
BK0503,13257
BK0505,5395
BK0571,696
BK0601,24722
BK0602,20874
BK0701,3756
BK0702,44589
BK0703,11495
BK0801,5265
BK0802,10373
BK0901,9389
BK0902,13313
BK1001,16630
BK1002,14267
BK1061,169
BK1101,26047
BK1102,4288
BK1103,17967
BK1201,8588
BK1202,52016
BK1203,13321
BK1204,12532
BK1301,11142
BK1302,10844
BK1303,17709
BK1401,8117
BK1402,17872
BK1403,16221
BK1501,17088
BK1502,13718
BK1503,28002
BK1601,6320
BK1602,7567
BK1701,12435
BK1702,5045
BK1703,5372
BK1704,4634
BK1801,19189
BK1802,9761
BK1892,282
BK1893,16
BK5591,60
BK5691,475
BX0101,20357
BX0102,19659
BX0201,20570
BX0202,6865
BX0301,7015
BX0302,5805
BX0303,4353
BX0401,15160
BX0402,2995
BX0403,4350
BX0491,343
BX0501,4414
BX0502,7661
BX0503,5526
BX0601,2220
BX0602,9273
BX0603,13498
BX0701,10082
BX0702,7269
BX0703,20881
BX0801,3428
BX0802,5929
BX0803,13298
BX0901,6640
BX0902,4702
BX0903,3793
BX0904,4024
BX0991,178
BX1001,10152
BX1002,7178
BX1004,8234
BX1091,152
BX1101,10004
BX1102,14744
BX1103,5194
BX1104,4821
BX1161,7104
BX1201,5217
BX1202,6673
BX1203,9096
BX1271,75
BX2691,122
BX2791,438
MN0102,121959
MN0201,89160
MN0202,58397
MN0203,36807
MN0301,17837
MN0401,137914
MN0402,65091
MN0501,269755
MN0502,613384
MN0602,46133
MN0604,138238
MN0701,41501
MN0702,30477
MN0703,14115
MN0802,60770
MN0901,42608
MN0902,5670
MN0903,6709
MN1001,13466
MN1002,12278
MN1101,36114
MN1191,3333
MN1201,24683
MN1202,12971
MN1291,27
MN1292,19
MN6491,815
QN0101,11819
QN0102,2667
QN0103,13448
QN0104,11233
QN0105,33490
QN0151,7671
QN0161,5025
QN0171,595
QN0201,36856
QN0202,42387
QN0203,15530
QN0261,617
QN0271,322
QN0301,15960
QN0302,7233
QN0303,3529
QN0401,25120
QN0402,11094
QN0501,18042
QN0502,11341
QN0503,8191
QN0504,4144
QN0571,7
QN0572,6
QN0573,75
QN0574,57
QN0601,14295
QN0602,37213
QN0702,5360
QN0703,3129
QN0704,14202
QN0705,5360
QN0706,5537
QN0707,44308
QN0761,752
QN0791,14
QN0801,9669
QN0802,12668
QN0803,6411
QN0804,4346
QN0805,7777
QN0871,6
QN0891,103
QN0901,8348
QN0902,12786
QN0903,2132
QN0904,10586
QN0905,2943
QN1001,10262
QN1002,3923
QN1101,6680
QN1102,12267
QN1104,2364
QN1191,108
QN1201,22568
QN1202,3041
QN1203,3491
QN1204,5289
QN1205,4779
QN1206,2180
QN1301,15345
QN1302,6165
QN1303,7649
QN1304,1549
QN1305,3647
QN1306,8316
QN1307,2918
QN1371,22
QN1401,10949
QN1402,4084
QN1403,590
QN8191,3434
QN8291,69
QN8492,46
SI0101,6181
SI0102,4416
SI0103,2634
SI0104,9281
SI0105,4757
SI0106,6070
SI0191,154
SI0201,13008
SI0202,7702
SI0203,5102
SI0204,36497
SI0291,412
SI0301,1853
SI0302,7783
SI0303,2080
SI0304,5117
SI0305,7539
SI0391,270
SI9561,80
SI9592,564
